"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly.owned_self.operatd_no","holding_whly.owned_self.operatd_ar","holding_whly_leased.in_no","holding_whly_leased.in_ar","holding_whly.operatd_no","holding_whly.operatd_ar","holding_partly.ownd_leased.in_operatd_no","holding_partly.ownd_leased.in_operatd_ownd.ar","holding_partly.ownd_leased.in_operatd_leasdin.ar","holding_partly.ownd_leased.in_operatd_operatd.ar","holding_partly.ownd_leased.in_operatd_tot.ar"
37,532,"INSTITUTIONAL","ALL CLASSES",58,537,58,537,0,0,0,0,0,0,0,0,0
37,533,"INSTITUTIONAL","ALL CLASSES",72,755,72,755,0,0,0,0,0,0,0,0,0
37,534,"INSTITUTIONAL","ALL CLASSES",25,354,25,354,0,0,0,0,0,0,0,0,0
37,535,"INSTITUTIONAL","ALL CLASSES",184,2730,184,2730,0,0,0,0,0,0,0,0,0
36,537,"INSTITUTIONAL","ALL CLASSES",145,1092,145,1092,0,0,0,0,0,0,0,0,0
37,538,"INSTITUTIONAL","ALL CLASSES",14,452,14,452,0,0,0,0,0,0,0,0,0
37,539,"INSTITUTIONAL","ALL CLASSES",135,2235,135,2235,0,0,0,0,0,0,0,0,0
37,540,"INSTITUTIONAL","ALL CLASSES",7,76,7,76,0,0,0,0,0,0,0,0,0
37,541,"INSTITUTIONAL","ALL CLASSES",160,2186,160,2186,0,0,0,0,0,0,0,0,0
36,542,"INSTITUTIONAL","ALL CLASSES",508,4033,508,4033,0,0,0,0,0,0,0,0,0
36,543,"INSTITUTIONAL","ALL CLASSES",107,1363,107,1363,0,0,0,0,0,0,0,0,0
36,544,"INSTITUTIONAL","ALL CLASSES",211,1483,211,1483,0,0,0,0,0,0,0,0,0
36,545,"INSTITUTIONAL","ALL CLASSES",836,3912,836,3912,0,0,0,0,0,0,0,0,0
36,546,"INSTITUTIONAL","ALL CLASSES",776,3446,776,3446,0,0,0,0,0,0,0,0,0
36,547,"INSTITUTIONAL","ALL CLASSES",25,180,25,180,0,0,0,0,0,0,0,0,0
36,548,"INSTITUTIONAL","ALL CLASSES",759,8025,759,8025,0,0,0,0,0,0,0,0,0
36,549,"INSTITUTIONAL","ALL CLASSES",168,2040,168,2040,0,0,0,0,0,0,0,0,0
36,550,"INSTITUTIONAL","ALL CLASSES",666,6792,666,6792,0,0,0,0,0,0,0,0,0
36,551,"INSTITUTIONAL","ALL CLASSES",18,619,18,619,0,0,0,0,0,0,0,0,0
36,552,"INSTITUTIONAL","ALL CLASSES",53,1619,53,1619,0,0,0,0,0,0,0,0,0
36,553,"INSTITUTIONAL","ALL CLASSES",714,5821,714,5821,0,0,0,0,0,0,0,0,0
36,554,"INSTITUTIONAL","ALL CLASSES",45,2173,45,2173,0,0,0,0,0,0,0,0,0
37,532,"SCHEDULED CASTE","ALL CLASSES",80294,90599,79682,89592,557,898,22,46,33,39,25,0,64
37,533,"SCHEDULED CASTE","ALL CLASSES",62591,42530,62582,42522,7,6,0,0,2,2,0,0,2
37,534,"SCHEDULED CASTE","ALL CLASSES",96579,61893,96397,61687,138,143,4,6,40,31,27,0,58
37,535,"SCHEDULED CASTE","ALL CLASSES",107702,74873,107702,74873,0,0,0,0,0,0,0,0,0
36,537,"SCHEDULED CASTE","ALL CLASSES",53045,48481,53034,48474,6,6,5,2,0,0,0,0,0
37,538,"SCHEDULED CASTE","ALL CLASSES",129514,117957,129514,117957,0,0,0,0,0,0,0,0,0
37,539,"SCHEDULED CASTE","ALL CLASSES",87125,63174,87093,63135,10,11,15,20,7,3,4,0,7
37,540,"SCHEDULED CASTE","ALL CLASSES",82212,58348,81989,58215,163,92,4,0,56,8,32,0,40
37,541,"SCHEDULED CASTE","ALL CLASSES",44552,29710,44349,29442,149,144,0,0,54,64,49,11,124
36,542,"SCHEDULED CASTE","ALL CLASSES",27487,10620,27485,10612,0,0,0,0,2,5,3,0,8
36,543,"SCHEDULED CASTE","ALL CLASSES",21930,11574,21563,11309,213,68,0,0,154,136,61,0,198
36,544,"SCHEDULED CASTE","ALL CLASSES",10462,6143,10220,5985,59,19,10,3,173,93,29,13,135
36,545,"SCHEDULED CASTE","ALL CLASSES",62363,22626,62106,22495,134,100,98,5,25,16,10,0,25
36,546,"SCHEDULED CASTE","ALL CLASSES",48177,25490,48095,25440,10,8,0,0,72,30,13,0,43
36,547,"SCHEDULED CASTE","ALL CLASSES",50842,27140,49151,25453,1361,1271,49,8,281,241,168,0,408
36,548,"SCHEDULED CASTE","ALL CLASSES",53256,31070,53254,31058,0,0,0,0,2,10,2,0,12
36,549,"SCHEDULED CASTE","ALL CLASSES",73059,62154,73059,62154,0,0,0,0,0,0,0,0,0
36,550,"SCHEDULED CASTE","ALL CLASSES",88661,53277,88556,53158,60,57,24,28,21,17,6,11,34
36,551,"SCHEDULED CASTE","ALL CLASSES",39525,31556,39492,31515,13,17,20,24,0,0,0,0,0
36,552,"SCHEDULED CASTE","ALL CLASSES",76496,86874,76404,86752,66,77,0,0,26,18,27,0,45
36,553,"SCHEDULED CASTE","ALL CLASSES",71518,88061,71492,87994,0,0,26,67,0,0,0,0,0
36,554,"SCHEDULED CASTE","ALL CLASSES",89262,56346,89148,56225,48,48,29,36,37,20,16,0,36
37,532,"OTHERS","ALL CLASSES",328303,450198,327998,449648,97,118,20,26,188,264,142,0,406
37,533,"OTHERS","ALL CLASSES",371883,357578,371786,357451,76,111,0,0,21,12,4,0,16
37,534,"OTHERS","ALL CLASSES",546409,559792,545613,558509,318,328,14,7,464,529,419,0,948
37,535,"OTHERS","ALL CLASSES",541557,548966,541539,548952,7,1,11,13,0,0,0,0,0
36,537,"OTHERS","ALL CLASSES",259983,337733,259911,337599,49,114,23,21,0,0,0,0,0
37,538,"OTHERS","ALL CLASSES",761838,988683,761796,988590,22,50,0,0,20,35,3,5,42
37,539,"OTHERS","ALL CLASSES",585344,754808,585105,754460,48,73,30,31,161,165,78,0,244
37,540,"OTHERS","ALL CLASSES",474526,506312,473166,505061,1070,996,12,18,278,133,103,0,236
37,541,"OTHERS","ALL CLASSES",267298,324091,264015,316101,2056,3221,10,21,1217,2814,1718,216,4749
36,542,"OTHERS","ALL CLASSES",461825,307914,461127,306512,84,33,0,0,614,983,385,0,1368
36,543,"OTHERS","ALL CLASSES",385619,292697,377349,282032,3853,1988,22,6,4395,5717,2934,21,8672
36,544,"OTHERS","ALL CLASSES",355558,218042,346170,210788,1434,439,1638,497,6316,4657,1046,614,6317
36,545,"OTHERS","ALL CLASSES",591563,393393,589420,391284,997,745,94,23,1052,805,533,2,1340
36,546,"OTHERS","ALL CLASSES",496068,416957,495250,416012,324,426,40,70,454,202,192,54,449
36,547,"OTHERS","ALL CLASSES",488069,471806,463709,433373,14917,16726,291,67,9152,13256,8384,0,21640
36,548,"OTHERS","ALL CLASSES",685605,643418,685233,640926,23,39,0,0,349,1843,610,0,2453
36,549,"OTHERS","ALL CLASSES",583508,770930,583503,770922,0,0,5,8,0,0,0,0,0
36,550,"OTHERS","ALL CLASSES",342982,404532,341796,402210,612,936,184,170,390,592,581,42,1215
36,551,"OTHERS","ALL CLASSES",393236,502650,393155,502557,0,0,81,94,0,0,0,0,0
36,552,"OTHERS","ALL CLASSES",544022,945171,542690,941845,1059,1765,0,0,273,730,810,20,1560
36,553,"OTHERS","ALL CLASSES",626250,1141597,625638,1140885,0,0,612,711,0,0,0,0,0
36,554,"OTHERS","ALL CLASSES",561836,555463,560721,553875,859,1039,82,117,174,231,198,3,433
37,532,"SCHEDULED TRIBES","ALL CLASSES",111340,187245,110509,185084,806,2110,10,21,15,19,11,0,30
37,533,"SCHEDULED TRIBES","ALL CLASSES",38982,33612,38982,33612,0,0,0,0,0,0,0,0,0
37,534,"SCHEDULED TRIBES","ALL CLASSES",19332,16651,19327,16649,5,2,0,0,0,0,0,0,0
37,535,"SCHEDULED TRIBES","ALL CLASSES",35100,36362,35100,36362,0,0,0,0,0,0,0,0,0
36,537,"SCHEDULED TRIBES","ALL CLASSES",29498,32328,29465,32261,0,0,33,67,0,0,0,0,0
37,538,"SCHEDULED TRIBES","ALL CLASSES",90948,97770,90948,97770,0,0,0,0,0,0,0,0,0
37,539,"SCHEDULED TRIBES","ALL CLASSES",84584,84019,84554,83963,7,8,9,13,14,31,4,0,35
37,540,"SCHEDULED TRIBES","ALL CLASSES",106316,102576,105975,102399,227,126,0,0,114,22,30,0,51
